Instrument,Date,Price Close,Volume,Company Market Capitalization,Price To Sales Per Share (Daily Time Series Ratio),Beta,Earnings Per Share - Actual,Price To Book Value Per Share (Daily Time Series Ratio),Forward Price To Book Value Per Share (Daily Time Series Ratio),P/E (Daily Time Series Ratio),Total Debt To Enterprise Value (Daily Time Series Ratio),Total Return,Number of Trades,Combined Alpha Model Sector Rank,Combined Alpha Model Industry Rank
CAT.N,2023-04-12 00:00:00+00:00,220.5,577739,113854180545.0,1.91586619794033,1.07985209333433,4.27,7.17462855536959,6.76276644686398,17.4424675435627,25.7136576479872,-0.045330915684494,5568,92,92
CAT.N,2023-04-11 00:00:00+00:00,220.6,813471,113905815094.0,1.91673507149949,1.08036888392558,4.27,7.17788235516794,6.7658334611256,17.4503779596822,25.7044320886603,2.3523407414281,7890,92,92
CAT.N,2023-04-10 00:00:00+00:00,215.53,736676,111287943459.7,1.87268318205024,1.08005983656279,4.27,7.01291470539141,6.60156277518636,17.049319862422,26.1806628515596,3.0405889945977,7495,92,93
CAT.N,2023-04-06 00:00:00+00:00,209.17,973895,108003986143.3,1.81742282368789,1.08005983656279,4.27,6.80597303821613,6.40675954941647,16.54621739722,26.8036109945266,-2.04186765325716,9020,91,93
CAT.N,2023-04-05 00:00:00+00:00,213.53,922356,110255252479.7,1.85530571086711,1.08005983656279,4.27,6.94783870942434,6.54030389915809,16.8911115400315,26.3734143787393,-1.80271326741779,9761,92,92
CAT.N,2023-04-04 00:00:00+00:00,217.45,859804,112279326800.5,1.88936555438605,1.08227168737189,4.27,7.0753876615198,6.66037129617349,17.201199851917,25.9982535930686,-5.40305390003046,8774,92,92
CAT.N,2023-04-03 00:00:00+00:00,229.87,598211,118692337786.3,1.9972796504333,1.08207868643157,4.27,7.47950959647531,7.04078891630904,18.1836735339626,24.8770475166887,0.45009613703898,6015,93,94
PG.N,2023-05-01 00:00:00+00:00,156.57,1229904,369030686745.54,4.557734990929,0.395286492912788,1.37,8.17524670647659,7.24525682554373,27.2696397314314,9.16771988963253,0.121498912904462,6056,62,75
PG.N,2023-04-28 00:00:00+00:00,156.38,2354942,368582862574.36,4.55220411241922,0.39294366430476,1.37,8.16532592424353,7.23646459972235,27.2365476221578,9.17801766649264,-0.057519013229375,9946,62,75
PG.N,2023-04-27 00:00:00+00:00,156.47,1447849,368794989813.34,4.55482400223965,0.39294366430476,1.37,8.17002524214341,7.24062933826932,27.2522228318137,9.173136889952,1.22266787423987,7628,62,75
PG.N,2023-04-26 00:00:00+00:00,154.58,1576977,364340317794.76,4.49980631601077,0.39294366430476,1.37,8.07133956624611,7.15316982878297,26.9230434290392,9.27673563881275,-1.15736300274952,8977,63,75
PG.N,2023-04-25 00:00:00+00:00,156.39,2146906,368606432267.58,4.55249521128816,0.387548584936242,1.37,8.16584807067685,7.23692734844979,27.2382893121195,9.17747510151652,0.025583626479048,11003,60,75
PG.N,2023-04-24 00:00:00+00:00,156.35,2404582,368512153494.7,4.55133081581242,0.39006408800606,1.37,8.16375948494357,7.23507635354003,27.2313225522725,9.1796457464013,0.179406676491319,12011,62,75
PG.N,2023-04-21 00:00:00+00:00,156.07,3839399,367852202084.54,4.58205804716607,0.3930380150077,1.37,8.28234403507555,7.27734775715751,27.4095057788799,8.78681403976695,3.46039111700365,19514,60,78
PG.N,2023-04-20 00:00:00+00:00,150.85,2076902,355548822223.7,4.42880410338312,0.392843257753535,1.59,8.0053283634981,7.05433969322858,26.4927529105147,9.06784794568042,0.364123247818028,9210,60,78
PG.N,2023-04-19 00:00:00+00:00,151.24,1205516,356468040259.28,4.44025411067724,0.39267256595364,1.59,8.02602493666193,7.07257762813319,26.5612459409098,9.0462312616676,0.019839957674758,6363,58,78
PG.N,2023-04-18 00:00:00+00:00,151.21,1578055,356397331179.62,4.43937334088539,0.39267256595364,1.59,8.0244328925724,7.0711747100636,26.555977246264,9.04789042379265,0.105925190334324,7448,58,78
PG.N,2023-04-17 00:00:00+00:00,151.05,1777816,356020216088.1,4.43467590199549,0.39267256595364,1.59,8.0159419907616,7.06369248035915,26.5278775414866,9.05674957729135,0.033112582781464,6725,58,78
PG.N,2023-04-14 00:00:00+00:00,151.0,1932275,355902367622.0,4.43320795234239,0.39353520358196,1.59,8.01328858394572,7.06135428357651,26.5190963837436,9.05952162168901,-0.507346642946571,7287,57,78
PG.N,2023-04-13 00:00:00+00:00,151.77,2334139,357717233999.94,4.45581437700003,0.393567471501914,1.59,8.05415104891021,7.09802637732672,26.6543262129852,9.01701940828648,0.463361355662949,10965,57,78
PG.N,2023-04-12 00:00:00+00:00,151.07,1882090,356067355474.54,4.43526308185673,0.393554299651929,1.59,8.01700335348795,7.06528856047142,26.5313900045838,9.05564123446271,0.27213593521837,9316,57,78
